Accession,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Collection_Date
KX547238,West Nile virus,10787,complete,"USA: St. Lawrence Co., NY",USA,NY,Corvus brachyrhynchos,2002-08-21
KX547239,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culiseta,2003-08-20
KX547240,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2008-09-03
KX547241,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2003-09-09
KX547242,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2010-08-03
KX547243,West Nile virus,10787,complete,"USA: Lewis Co., NY",USA,NY,Corvus brachyrhynchos,2006-08-23
KX547244,West Nile virus,10787,complete,"USA: Clinton Co., NY",USA,NY,Corvus brachyrhynchos,2003-10-02
KX547245,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2002-09-13
KX547246,West Nile virus,10787,complete,"USA: Chemung Co., NY",USA,NY,Corvus brachyrhynchos,2002-09-06
KX547247,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2002-08-14
KX547248,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2003-09-26
KX547249,West Nile virus,10787,complete,"USA: Queens Co., NY",USA,NY,Quiscalus quiscula,2004-09-15
KX547250,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Corvus brachyrhynchos,2006-08-03
KX547251,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2002-07-19
KX547252,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2002-09-13
KX547253,West Nile virus,10787,complete,"USA: St. Lawrence Co., NY",USA,NY,Corvus brachyrhynchos,2004-05-30
KX547254,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2013-07-17
KX547255,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,2011-09-13
KX547256,West Nile virus,10787,complete,"USA: Orange Co., NY",USA,NY,Culex,2004-08-10
KX547257,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2007-09-24
KX547258,West Nile virus,10787,complete,"USA: Ontario Co., NY",USA,NY,Corvus brachyrhynchos,2006-07-12
KX547259,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Cyanocitta cristata,2005-08-11
KX547260,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Corvus brachyrhynchos,2006-08-10
KX547261,West Nile virus,10787,complete,"USA: Queens Co., NY",USA,NY,Passer domesticus,2002-09-04
KX547262,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Corvus brachyrhynchos,2005-07-20
KX547263,West Nile virus,10787,complete,"USA: Albany Co., NY",USA,NY,Cardinalis cardinalis,2002-09-16
KX547264,West Nile virus,10787,complete,"USA: Livingston Co., NY",USA,NY,Corvus brachyrhynchos,2004-08-16
KX547265,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cyanocitta cristata,2009-08-31
KX547266,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2002-08-09
KX547267,West Nile virus,10787,complete,"USA: Dutchess Co., NY",USA,NY,Cyanocitta cristata,2003-09-29
KX547268,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2006-08-09
KX547269,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,2013-08-23
KX547270,West Nile virus,10787,complete,"USA: Albany Co., NY",USA,NY,Corvus brachyrhynchos,2006-08-23
KX547271,West Nile virus,10787,complete,"USA: Seneca Co., NY",USA,NY,Cyanocitta cristata,2006-08-12
KX547272,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2001-08-07
KX547273,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2006-07-31
KX547274,West Nile virus,10787,complete,"USA: Madison Co., NY",USA,NY,Culiseta,2013-09-05
KX547275,West Nile virus,10787,complete,"USA: Jefferson Co., NY",USA,NY,Cyanocitta cristata,2004-09-03
KX547276,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2011-07-18
KX547277,West Nile virus,10787,complete,"USA: Orange Co., NY",USA,NY,Culex,2004-09-23
KX547278,West Nile virus,10787,complete,"USA: Albany Co., NY",USA,NY,Corvus brachyrhynchos,2012-09-17
KX547279,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2010-07-08
KX547280,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,2012-09-10
KX547281,West Nile virus,10787,complete,"USA: Cortland Co., NY",USA,NY,Corvus brachyrhynchos,2004-06-04
KX547282,West Nile virus,10786,complete,"USA: Orleans Co., NY",USA,NY,Cyanocitta cristata,2004-09-07
KX547283,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Aedes sp.,2012-08-30
KX547284,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Culex,2008-08-15
KX547285,West Nile virus,10787,complete,"USA: Bronx Co., NY",USA,NY,Corvus brachyrhynchos,2004-08-16
KX547286,West Nile virus,10785,complete,"USA: Chautauqua Co., NY",USA,NY,Culiseta,2015-09-03
KX547287,West Nile virus,10787,complete,"USA: New York Co., NY",USA,NY,Passer domesticus,2003-09-29
KX547288,West Nile virus,10787,complete,"USA: Broome Co., NY",USA,NY,Corvus brachyrhynchos,2003-07-27
KX547289,West Nile virus,10787,complete,"USA: Cortland Co., NY",USA,NY,Corvus brachyrhynchos,2005-10-05
KX547290,West Nile virus,10787,complete,"USA: Schenectady Co., NY",USA,NY,Corvus brachyrhynchos,2007-08-13
KX547291,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2012-08-14
KX547292,West Nile virus,10787,complete,"USA: Sufolk Co., NY",USA,NY,Culex,2009-09-16
KX547293,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,2011-08-24
KX547294,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2010-09-30
KX547295,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2011-08-24
KX547296,West Nile virus,10787,complete,"USA: Columbia Co., NY",USA,NY,Corvus brachyrhynchos,2004-05-11
KX547297,West Nile virus,10784,complete,"USA: Orleans Co., NY",USA,NY,Corvus brachyrhynchos,2007-08-06
KX547298,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2004-08-03
KX547299,West Nile virus,10787,complete,"USA: Otsego Co., NY",USA,NY,Corvus brachyrhynchos,2002-08-25
KX547300,West Nile virus,10787,complete,"USA: Ulster Co., NY",USA,NY,Corvus brachyrhynchos,2009-08-17
KX547301,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2002-09-10
KX547302,West Nile virus,10787,complete,"USA: Broome Co., NY",USA,NY,Corvus brachyrhynchos,2004-08-04
KX547303,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2005-07-27
KX547304,West Nile virus,10787,complete,"USA: Ulster Co., NY",USA,NY,Corvus brachyrhynchos,2004-09-02
KX547305,West Nile virus,10786,complete,"USA: Albany Co., NY",USA,NY,Corvus brachyrhynchos,2002-08-25
KX547306,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2009-09-02
KX547307,West Nile virus,10787,complete,"USA: Bronx Co., NY",USA,NY,Cyanocitta cristata,2005-08-15
KX547308,West Nile virus,10787,complete,"USA: Bronx Co., NY",USA,NY,Cyanocitta cristata,2004-09-30
KX547309,West Nile virus,10784,complete,"USA: Suffolk Co., NY",USA,NY,Corvus brachyrhynchos,2008-08-14
KX547310,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2003-08-26
KX547311,West Nile virus,10787,complete,"USA: Albany Co., NY",USA,NY,Sciurus carolinensis,2003-09-25
KX547312,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Corvus brachyrhynchos,2004-05-20
KX547313,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Corvus brachyrhynchos,2004-08-03
KX547314,West Nile virus,10787,complete,"USA: Broome Co., NY",USA,NY,Culex,2002-09-27
KX547315,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2012-08-24
KX547316,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2001-09-13
KX547317,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Corvus brachyrhynchos,2004-07-27
KX547318,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Cyanocitta cristata,2006-08-19
KX547319,West Nile virus,10787,complete,"USA: Rensselaer Co., NY",USA,NY,Corvus brachyrhynchos,2009-09-07
KX547320,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cyanocitta cristata,2002-09-17
KX547321,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Baeolophus bicolor,2005-09-07
KX547322,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2003-08-19
KX547323,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2013-07-31
KX547324,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,2013-08-14
KX547325,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2011-09-20
KX547326,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2007-08-01
KX547327,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Corvus brachyrhynchos,2006-08-24
KX547328,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2013-07-03
KX547329,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Cyanocitta cristata,2007-08-24
KX547330,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2013-09-18
KX547331,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Cyanocitta cristata,2002-09-26
KX547332,West Nile virus,10787,complete,"USA: Bronx Co., NY",USA,NY,Corvus brachyrhynchos,2005-08-08
KX547333,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2013-10-09
KX547334,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2012-06-18
KX547335,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2008-08-05
KX547336,West Nile virus,10787,complete,"USA: Essex Co., NY",USA,NY,Corvus brachyrhynchos,2002-09-09
KX547337,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2012-09-28
KX547338,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Corvus brachyrhynchos,2005-09-09
KX547339,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cyanocitta cristata,2007-09-11
KX547340,West Nile virus,10787,complete,"USA: Orange Co., NY",USA,NY,Culex,2012-08-16
KX547341,West Nile virus,10787,complete,"USA: Dutchess Co., NY",USA,NY,Corvus brachyrhynchos,2005-01-31
KX547342,West Nile virus,10787,complete,"USA: Orange Co., NY",USA,NY,Culex,2006-08-10
KX547343,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Aedes sp.,2012-08-08
KX547344,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,2013-07-24
KX547345,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Corvus brachyrhynchos,2004-08-11
KX547346,West Nile virus,10787,complete,"USA: Albany Co., NY",USA,NY,Corvus brachyrhynchos,2004-06-18
KX547347,West Nile virus,10787,complete,"USA: Monroe Co., NY",USA,NY,Corvus brachyrhynchos,2005-05-25
KX547348,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2009-08-14
KX547349,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2006-08-31
KX547350,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2006-07-28
KX547351,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2004-08-04
KX547352,West Nile virus,10787,complete,"USA: Orange Co., NY",USA,NY,Culex,2008-08-14
KX547353,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2000-07-11
KX547354,West Nile virus,10787,complete,"USA: Schoharie Co., NY",USA,NY,Corvus brachyrhynchos,2003-10-03
KX547355,West Nile virus,10787,complete,"USA: Albany Co., NY",USA,NY,Cyanocitta cristata,2005-09-13
KX547356,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,2012-08-07
KX547357,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2007-08-07
KX547358,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2013-09-20
KX547359,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Corvus brachyrhynchos,2006-08-14
KX547360,West Nile virus,10787,complete,"USA: Putnam Co., NY",USA,NY,Corvus brachyrhynchos,2005-09-11
KX547361,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2010-08-12
KX547362,West Nile virus,10787,complete,"USA: Dutchess Co., NY",USA,NY,Culex,2005-08-31
KX547363,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culex,2003-08-13
KX547364,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Aedes sp.,2002-09-13
KX547365,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cyanocitta cristata,2008-07-30
KX547366,West Nile virus,10787,complete,"USA: Bronx Co., NY",USA,NY,Haemorhous mexicanus,2005-08-10
KX547367,West Nile virus,10788,complete,"USA: Richmond Co., NY",USA,NY,Passer domesticus,2006-07-21
KX547368,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2009-08-28
KX547369,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2011-08-25
KX547370,West Nile virus,10787,complete,"USA: Dutchess Co., NY",USA,NY,Culex,2005-08-30
KX547371,West Nile virus,10787,complete,"USA: Jefferson Co., NY",USA,NY,Corvus brachyrhynchos,2007-09-20
KX547372,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Corvus brachyrhynchos,2009-08-13
KX547373,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Corvus brachyrhynchos,2009-09-30
KX547374,West Nile virus,10787,complete,"USA: Orange Co., NY",USA,NY,Culex,2002-08-23
KX547375,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,2011-09-08
KX547376,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2010-09-16
KX547377,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2005-07-21
KX547378,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2002-09-11
KX547379,West Nile virus,10788,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2004-09-28
KX547380,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2012-07-11
KX547381,West Nile virus,10787,complete,"USA: Putnam Co., NY",USA,NY,Cyanocitta cristata,2003-10-03
KX547382,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Cyanocitta cristata,2007-08-24
KX547383,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2002-10-04
KX547384,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Haemorhous mexicanus,2006-08-07
KX547385,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Cyanocitta cristata,2006-07-27
KX547386,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2000-07-21
KX547387,West Nile virus,10787,complete,"USA: Chautauqua Co., NY",USA,NY,Aedes sp.,2006-08-22
KX547388,West Nile virus,10786,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2010-08-26
KX547389,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culiseta,2012-09-07
KX547390,West Nile virus,10788,complete,"USA: Genesee Co., NY",USA,NY,Cyanocitta cristata,2004-08-29
KX547391,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2010-08-25
KX547392,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2007-08-08
KX547393,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2002-08-06
KX547394,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Coquillettidia,2006-08-01
KX547395,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2000-08-31
KX547396,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2005-09-16
KX547397,West Nile virus,10787,complete,"USA: Rensselaer Co., NY",USA,NY,Corvus brachyrhynchos,2005-08-30
KX547398,West Nile virus,10787,complete,"USA: Madison Co., NY",USA,NY,Corvus brachyrhynchos,2002-08-23
KX547399,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2007-09-06
KX547400,West Nile virus,10787,complete,"USA: Queens Co., NY",USA,NY,Passer domesticus,2006-08-30
KX547401,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2008-09-16
KX547402,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culex,2002-09-18
KX547403,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Corvus brachyrhynchos,2004-05-20
KX547404,West Nile virus,10787,complete,"USA: Albany Co., NY",USA,NY,Corvus brachyrhynchos,2008-08-18
KX547405,West Nile virus,10787,complete,"USA: Tompkins Co., NY",USA,NY,Corvus brachyrhynchos,2003-08-09
KX547406,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2009-09-25
KX547407,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cyanocitta cristata,2009-08-27
KX547408,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2004-09-13
KX547409,West Nile virus,10787,complete,"USA: Putnam Co., NY",USA,NY,Corvus brachyrhynchos,2003-09-10
KX547410,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,2012-07-30
KX547411,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2003-07-10
KX547412,West Nile virus,10787,complete,"USA: Madison Co., NY",USA,NY,Aedes sp.,2011-08-30
KX547413,West Nile virus,10787,complete,"USA: Otsego Co., NY",USA,NY,Corvus brachyrhynchos,2005-08-02
KX547414,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2002-09-10
KX547415,West Nile virus,10787,complete,"USA: Monroe Co., NY",USA,NY,Corvus brachyrhynchos,2004-07-28
KX547416,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Coquillettidia,2011-08-04
KX547417,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2011-07-22
KX547418,West Nile virus,10786,complete,"USA: St. Lawrence Co., NY",USA,NY,Aedes sp.,2012-08-16
KX547419,West Nile virus,10787,complete,"USA: Dutchess Co., NY",USA,NY,Corvus brachyrhynchos,2007-08-23
KX547420,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cyanocitta cristata,2006-07-28
KX547421,West Nile virus,10787,complete,"USA: Steuben Co., NY",USA,NY,Corvus brachyrhynchos,2002-08-15
KX547422,West Nile virus,10787,complete,"USA: Queens Co., NY",USA,NY,Cyanocitta cristata,2003-10-03
KX547423,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Quiscalus quiscula,2004-07-16
KX547424,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Corvus brachyrhynchos,2007-07-10
KX547425,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cyanocitta cristata,2009-09-09
KX547426,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culex,2007-08-08
KX547427,West Nile virus,10787,complete,"USA: Chautauqua Co., NY",USA,NY,Cyanocitta cristata,2004-06-22
KX547428,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2002-09-26
KX547429,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Anopheles sp.,2002-08-15
KX547430,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2009-08-18
KX547431,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Culex,2006-08-17
KX547432,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Coquillettidia,2006-08-10
KX547433,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Zenaida macroura,2006-08-31
KX547434,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2009-09-11
KX547435,West Nile virus,10787,complete,"USA: Kings Co., NY",USA,NY,Corvus brachyrhynchos,2006-08-18
KX547436,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2008-09-08
KX547437,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2003-07-29
KX547438,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culex,2011-08-10
KX547439,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Corvus brachyrhynchos,2003-08-14
KX547440,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Corvus brachyrhynchos,2008-08-19
KX547441,West Nile virus,10583,complete,"USA: Suffolk Co., NY",USA,NY,Passer domesticus,2005-08-16
KX547442,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2010-08-31
KX547443,West Nile virus,10786,complete,"USA: Nassau Co., NY",USA,NY,Aedes sp.,2012-08-17
KX547444,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Culex,2002-08-06
KX547445,West Nile virus,10786,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2014-09-17
KX547446,West Nile virus,10787,complete,"USA: Wyoming Co., NY",USA,NY,Corvus brachyrhynchos,2004-06-07
KX547447,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Corvus brachyrhynchos,2007-08-08
KX547448,West Nile virus,10787,complete,"USA: Cayuga Co., NY",USA,NY,Corvus brachyrhynchos,2002-08-29
KX547449,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2011-07-06
KX547450,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2015-08-05
KX547451,West Nile virus,10787,complete,"USA: Monroe Co., NY",USA,NY,Corvus brachyrhynchos,2006-08-22
KX547452,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Corvus brachyrhynchos,2007-08-14
KX547453,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Turdus migratorius,2008-07-29
KX547454,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2004-08-03
KX547455,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2003-08-13
KX547456,West Nile virus,10785,complete,"USA: Chautauqua Co., NY",USA,NY,Culex,2012-07-31
KX547458,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cyanocitta cristata,2003-09-22
KX547459,West Nile virus,10787,complete,"USA: Wyoming Co., NY",USA,NY,Corvus brachyrhynchos,2002-09-26
KX547460,West Nile virus,10787,complete,"USA: Madison Co., NY",USA,NY,Aedes sp.,2013-08-06
KX547461,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cardinalis cardinalis,2005-08-08
KX547462,West Nile virus,10787,complete,"USA: Jefferson Co., NY",USA,NY,Corvus brachyrhynchos,2004-06-29
KX547463,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2009-08-25
KX547464,West Nile virus,10787,complete,"USA: Weschester Co., NY",USA,NY,Culex,2009-09-16
KX547465,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2013-07-31
KX547467,West Nile virus,10787,complete,"USA: Onondaga Co., NY",USA,NY,Culiseta,2013-09-12
KX547468,West Nile virus,10787,complete,"USA: Columbia Co., NY",USA,NY,Culex,2003-08-11
KX547469,West Nile virus,10787,complete,"USA: Schenectady Co., NY",USA,NY,Sciurus carolinensis,2002-09-19
KX547470,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Corvus brachyrhynchos,2007-08-09
KX547471,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Aedes sp.,2005-09-21
KX547472,West Nile virus,10787,complete,"USA: Livingston Co., NY",USA,NY,Cyanocitta cristata,2006-08-31
KX547473,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2013-07-17
KX547474,West Nile virus,10787,complete,"USA: Albany Co., NY",USA,NY,Sciurus carolinensis,2002-10-11
KX547475,West Nile virus,10787,complete,"USA: Orleans Co., NY",USA,NY,Corvus brachyrhynchos,2006-08-06
KX547476,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Cyanocitta cristata,2008-08-07
KX547477,West Nile virus,10787,complete,"USA: Monroe Co., NY",USA,NY,Culex,2004-08-10
KX547478,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2001-09-08
KX547479,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Aedes sp.,2005-09-07
KX547480,West Nile virus,10787,complete,"USA: Columbia Co., NY",USA,NY,Culex,2003-09-22
KX547481,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Cyanocitta cristata,2005-09-01
KX547482,West Nile virus,10787,complete,"USA: Oswego Co., NY",USA,NY,Culiseta,2013-08-07
KX547483,West Nile virus,10787,complete,"USA: Nassau Co., NY",USA,NY,Culex,2014-07-03
KX547484,West Nile virus,10787,complete,"USA: Genesee Co., NY",USA,NY,Corvus ossifragus,2002-10-01
KX547485,West Nile virus,10787,complete,"USA: Rockland Co., NY",USA,NY,Culex,2014-06-13
KX547486,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Culex,2005-09-13
KX547487,West Nile virus,10787,complete,"USA: New York Co., NY",USA,NY,Corvus brachyrhynchos,2004-10-04
KX547488,West Nile virus,10787,complete,"USA: Suffolk Co., NY",USA,NY,Culex,2011-09-15
KX547489,West Nile virus,10787,complete,"USA: Richmond Co., NY",USA,NY,Corvus brachyrhynchos,2004-07-29
KX547490,West Nile virus,10787,complete,"USA: Chemung Co., NY",USA,NY,Corvus brachyrhynchos,2002-09-06
KX547491,West Nile virus,10787,complete,"USA: Queens Co., NY",USA,NY,Corvus brachyrhynchos,2007-09-04
KX547492,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2002-09-26
KX547493,West Nile virus,10787,complete,"USA: Orange Co., NY",USA,NY,Corvus brachyrhynchos,2004-09-19
KX547494,West Nile virus,10784,complete,"USA: Schenectady Co., NY",USA,NY,Corvus brachyrhynchos,2010-09-12
KX547495,West Nile virus,10787,complete,"USA: Westchester Co., NY",USA,NY,Culex,2011-07-21
KX547496,West Nile virus,10787,complete,"USA: Niagara Co., NY",USA,NY,Corvus brachyrhynchos,2007-07-25
KX547497,West Nile virus,10786,complete,"USA: Onondaga Co., NY",USA,NY,Culex,2012-08-01
KX547498,West Nile virus,10787,complete,"USA: Erie Co., NY",USA,NY,Corvus brachyrhynchos,2009-09-09
KX547499,West Nile virus,10787,complete,"USA: Herkimer Co., NY",USA,NY,Corvus brachyrhynchos,2004-07-14
KX547500,West Nile virus,10787,complete,"USA: Dutchess Co., NY",USA,NY,Corvus brachyrhynchos,2007-08-23
